['1', '81', '121', '201', '241', '321', '361', '71', '191', '311']
['2', '42', '82', '122', '162', '202', '242', '282', '322', '362']
['3', '43', '83', '123', '163', '203', '243', '283', '323', '363']
['4', '44', '84', '124', '164', '204', '244', '284', '324', '364']
['5', '45', '85', '125', '165', '205', '245', '285', '325', '365']
['6', '46', '86', '126', '166', '206', '246', '286', '326', '366']
['7', '47', '87', '127', '167', '207', '247', '287', '327', '367']
['8', '48', '88', '128', '168', '208', '248', '288', '328', '368']
['9', '49', '89', '129', '169', '209', '249', '289', '329', '369']
['50', '90', '130', '170', '210', '250', '290', '330', '370']
['11', '51', '91', '171', '211', '291', '331', '161', '281', '10']
['12', '52', '92', '132', '172', '212', '252', '292', '332', '372']
['13', '53', '93', '133', '173', '213', '253', '293', '333', '373']
['14', '54', '94', '134', '174', '214', '254', '294', '334', '374']
['15', '55', '95', '135', '175', '215', '255', '295', '335', '375']
['16', '56', '96', '136', '176', '216', '256', '296', '336', '376']
['17', '57', '97', '137', '177', '217', '257', '297', '337', '377']
['18', '58', '98', '138', '178', '218', '258', '298', '338', '378']
['19', '59', '99', '139', '179', '219', '259', '299', '339', '379']
['20', '60', '100', '140', '180', '220', '260', '300', '340', '380']
['21', '61', '141', '181', '261', '301', '381', '131', '251', '371']
['22', '62', '102', '142', '182', '222', '262', '302', '342', '382']
['23', '63', '103', '143', '183', '223', '263', '303', '343', '383']
['24', '64', '104', '144', '184', '224', '264', '304', '344', '384']
['25', '65', '105', '145', '185', '225', '265', '305', '345', '385']
['26', '66', '106', '146', '186', '226', '266', '306', '346', '386']
['27', '67', '107', '147', '187', '227', '267', '307', '347', '387']
['28', '68', '108', '148', '188', '228', '268', '308', '348', '388']
['29', '69', '109', '149', '189', '229', '269', '309', '349', '389']
['30', '70', '110', '150', '190', '230', '270', '310', '350', '390']
['31', '111', '151', '231', '271', '351', '391', '101', '221', '341']
['32', '72', '112', '152', '192', '232', '272', '312', '352', '392']
['33', '73', '113', '153', '193', '233', '273', '313', '353', '393']
['34', '74', '114', '154', '194', '234', '274', '314', '354', '394']
['35', '75', '115', '155', '195', '235', '275', '315', '355', '395']
['36', '76', '116', '156', '196', '236', '276', '316', '356', '396']
['37', '77', '117', '157', '197', '237', '277', '317', '357', '397']
['38', '78', '118', '158', '198', '238', '278', '318', '358', '398']
['39', '79', '119', '159', '199', '239', '279', '319', '359', '399']
['40', '80', '120', '160', '200', '240', '280', '320', '360', '41']
