['177', '448', '192', '106', '157', '374', '346', '216', '197', '39']
['236', '451', '219', '239', '111', '139', '191', '181', '273', '338']
['469', '82', '98', '470', '78', '9', '44', '170', '416', '18']
['33', '57', '163', '479', '102', '274', '21', '93', '104', '206']
['249', '131', '169', '232', '459', '373', '168', '367', '92', '204']
['372', '380', '343', '24', '315', '89', '356', '184', '182', '101']
['235', '465', '16', '351', '304', '88', '275', '359', '153', '301']
['366', '154', '120', '382', '203', '324', '344', '378', '453', '312']
['188', '240', '362', '253', '176', '409', '355', '4', '180', '119']
['77', '318', '431', '369', '68', '341', '292', '189', '96', '276']
['155', '488', '128', '2', '122', '417', '56', '422', '321', '496']
['183', '63', '411', '36', '322', '48', '383', '320', '31', '245']
['415', '264', '471', '211', '408', '55', '497', '231', '272', '280']
['71', '261', '215', '379', '230', '242', '396', '70', '27', '41']
['143', '83', '0', '269', '420', '400', '413', '218', '196', '423']
['46', '449', '118', '10', '209', '478', '350', '161', '87', '267']
['300', '268', '115', '243', '329', '258', '429', '398', '134', '336']
['100', '498', '476', '480', '430', '244', '123', '260', '445', '487']
['397', '436', '438', '200', '17', '38', '250', '426', '136', '8']
['485', '94', '393', '64', '455', '138', '442', '51', '419', '491']
['195', '326', '207', '62', '492', '481', '125', '333', '464', '72']
['281', '403', '377', '85', '368', '241', '224', '493', '179', '347']
['392', '454', '127', '289', '84', '457', '370', '112', '297', '439']
['117', '162', '495', '407', '447', '353', '399', '20', '238', '365']
['473', '357', '54', '387', '432', '254', '410', '342', '363', '173']
['440', '49', '145', '287', '259', '7', '66', '284', '30', '460']
['73', '358', '76', '186', '332', '288', '13', '110', '327', '384']
['450', '401', '252', '309', '257', '99', '29', '388', '43', '302']
['308', '472', '164', '234', '171', '310', '237', '295', '210', '271']
['103', '121', '349', '394', '133', '375', '223', '339', '303', '330']
['437', '35', '25', '467', '331', '140', '126', '424', '290', '130']
['316', '433', '58', '5', '247', '446', '113', '371', '477', '132']
['19', '385', '15', '360', '59', '262', '466', '475', '298', '294']
['325', '34', '361', '95', '108', '165', '156', '468', '434', '395']
['482', '293', '144', '208', '172', '201', '14', '391', '97', '198']
['414', '427', '107', '212', '109', '174', '311', '74', '69', '221']
['137', '462', '404', '490', '175', '225', '227', '222', '91', '402']
['11', '474', '105', '345', '178', '255', '443', '458', '285', '40']
['79', '159', '22', '3', '352', '307', '291', '147', '354', '185']
['67', '86', '233', '190', '167', '484', '251', '483', '494', '406']
['42', '116', '248', '81', '390', '412', '279', '205', '193', '435']
['213', '489', '461', '328', '286', '217', '142', '150', '90', '228']
['418', '146', '28', '220', '386', '364', '1', '65', '45', '323']
['26', '296', '152', '187', '463', '263', '283', '52', '214', '124']
['160', '166', '428', '149', '317', '32', '282', '486', '148', '278']
['348', '141', '23', '199', '270', '202', '246', '389', '381', '75']
['194', '340', '499', '337', '61', '37', '313', '114', '335', '452']
['277', '305', '456', '50', '80', '151', '444', '421', '135', '158']
['441', '405', '314', '229', '334', '265', '60', '306', '425', '6']
['256', '319', '53', '299', '47', '129', '376', '226', '266', '12']
