['0', '63', '220', '999', '782', '547', '663', '188', '435', '735']
['143', '481', '913', '878', '339', '639', '667', '190', '440', '739']
['3', '65', '451', '228', '341', '484', '702', '192', '442', '742']
['911', '630', '978', '260', '777', '875', '678', '195', '444', '744']
['222', '446', '142', '230', '354', '485', '681', '197', '448', '745']
['4', '67', '803', '671', '441', '827', '680', '199', '449', '746']
['5', '528', '429', '231', '862', '626', '802', '202', '455', '748']
['860', '69', '579', '753', '346', '540', '707', '203', '457', '749']
['6', '848', '148', '684', '494', '490', '686', '204', '463', '751']
['44', '70', '943', '553', '347', '495', '972', '207', '465', '752']
['439', '541', '153', '462', '349', '497', '731', '213', '468', '756']
['10', '176', '755', '233', '817', '665', '700', '215', '469', '759']
['648', '307', '154', '236', '666', '498', '778', '218', '470', '761']
['11', '73', '612', '924', '538', '499', '726', '219', '476', '765']
['637', '633', '156', '237', '353', '894', '724', '223', '478', '766']
['691', '695', '718', '364', '447', '501', '979', '229', '479', '769']
['12', '949', '158', '238', '614', '946', '930', '232', '480', '771']
['669', '129', '432', '604', '649', '502', '747', '234', '482', '772']
['216', '225', '159', '240', '754', '616', '812', '235', '488', '776']
['574', '77', '385', '993', '656', '843', '758', '239', '489', '783']
['13', '194', '257', '241', '359', '509', '762', '244', '491', '787']
['527', '644', '160', '608', '770', '513', '955', '246', '492', '792']
['16', '79', '855', '243', '919', '514', '796', '247', '500', '793']
['859', '520', '801', '276', '363', '516', '774', '248', '506', '797']
['794', '81', '424', '876', '388', '918', '798', '249', '510', '808']
['18', '603', '161', '251', '699', '816', '788', '250', '512', '815']
['126', '83', '713', '602', '366', '517', '937', '252', '515', '818']
['941', '336', '162', '254', '398', '940', '962', '253', '526', '819']
['146', '84', '178', '419', '373', '521', '883', '258', '529', '823']
['19', '141', '587', '356', '807', '773', '902', '263', '530', '824']
['409', '85', '886', '255', '863', '522', '965', '266', '533', '825']
['22', '87', '166', '961', '537', '523', '914', '270', '534', '828']
['370', '328', '767', '256', '380', '558', '927', '271', '539', '829']
['152', '90', '877', '358', '881', '524', '1', '274', '542', '830']
['23', '122', '168', '259', '383', '647', '2', '277', '543', '831']
['210', '91', '169', '743', '426', '531', '7', '280', '548', '833']
['140', '689', '504', '261', '838', '915', '8', '282', '549', '834']
['24', '92', '170', '944', '389', '544', '9', '285', '550', '835']
['809', '621', '173', '805', '885', '545', '14', '290', '554', '837']
['26', '355', '741', '262', '874', '890', '15', '291', '555', '840']
['208', '95', '172', '939', '953', '546', '17', '292', '556', '842']
['27', '101', '486', '265', '394', '623', '20', '293', '563', '844']
['922', '330', '847', '438', '408', '888', '21', '295', '564', '845']
['28', '102', '174', '864', '396', '557', '25', '300', '565', '846']
['841', '804', '733', '452', '460', '973', '29', '301', '571', '849']
['30', '387', '887', '712', '582', '560', '40', '302', '575', '852']
['187', '103', '593', '278', '399', '795', '45', '303', '578', '853']
['31', '780', '177', '268', '431', '594', '46', '306', '580', '857']
['991', '105', '314', '750', '406', '562', '48', '308', '581', '858']
['403', '893', '775', '269', '935', '676', '49', '309', '583', '861']
['32', '106', '179', '272', '410', '566', '53', '310', '584', '866']
['242', '690', '275', '508', '904', '597', '54', '311', '591', '872']
['217', '107', '180', '273', '411', '567', '59', '312', '592', '873']
['33', '507', '201', '933', '989', '568', '62', '313', '596', '879']
['980', '576', '181', '552', '454', '839', '64', '316', '599', '880']
