['223', '882', '498', '711', '460', '565', '486', '254', '435', '338']
['529', '68', '617', '585', '109', '844', '821', '88', '457', '73']
['260', '858', '972', '931', '839', '743', '135', '852', '587', '699']
['382', '856', '825', '4', '339', '307', '71', '485', '739', '501']
['275', '611', '834', '221', '722', '591', '302', '736', '549', '766']
['776', '151', '50', '128', '253', '226', '658', '146', '638', '353']
['23', '199', '437', '572', '220', '866', '687', '732', '27', '751']
['710', '404', '85', '409', '467', '270', '576', '31', '389', '992']
['593', '793', '67', '249', '161', '348', '813', '840', '671', '715']
['129', '233', '944', '64', '794', '162', '679', '941', '346', '915']
['546', '65', '740', '990', '642', '490', '918', '105', '242', '18']
['375', '707', '977', '926', '584', '155', '250', '820', '706', '648']
['964', '802', '602', '77', '853', '264', '466', '653', '891', '117']
['286', '304', '164', '373', '245', '136', '311', '205', '526', '511']
['225', '358', '294', '430', '544', '402', '251', '306', '855', '317']
['935', '451', '629', '6', '555', '228', '248', '138', '547', '654']
['336', '395', '482', '274', '664', '513', '184', '188', '417', '798']
['462', '993', '698', '568', '805', '933', '496', '56', '344', '718']
['166', '499', '350', '169', '548', '477', '688', '758', '968', '111']
['730', '872', '191', '381', '644', '937', '82', '847', '440', '763']
['607', '1', '177', '774', '922', '174', '908', '713', '98', '925']
['814', '634', '712', '182', '782', '622', '282', '647', '103', '912']
['708', '63', '927', '464', '815', '193', '877', '144', '899', '917']
['819', '119', '772', '175', '423', '898', '942', '340', '641', '716']
['984', '862', '125', '130', '53', '859', '803', '195', '608', '893']
['12', '324', '46', '342', '854', '800', '481', '783', '293', '628']
['421', '204', '685', '538', '808', '278', '946', '524', '765', '980']
['773', '906', '480', '363', '574', '510', '202', '383', '276', '309']
['94', '32', '822', '284', '725', '240', '928', '443', '433', '406']
['570', '110', '7', '723', '613', '78', '663', '991', '312', '714']
['142', '892', '232', '962', '436', '596', '812', '60', '676', '795']
['659', '600', '370', '826', '487', '471', '543', '133', '102', '295']
['315', '208', '734', '170', '697', '677', '947', '95', '347', '492']
['831', '995', '158', '747', '107', '238', '377', '832', '985', '869']
['413', '28', '388', '55', '781', '896', '817', '522', '531', '797']
['147', '652', '724', '517', '447', '14', '735', '777', '682', '620']
['761', '625', '20', '96', '465', '43', '559', '186', '479', '668']
['171', '323', '320', '692', '438', '426', '131', '957', '640', '742']
['87', '770', '281', '8', '729', '823', '341', '945', '72', '120']
['979', '30', '326', '811', '745', '594', '150', '497', '719', '876']
['415', '231', '727', '285', '432', '539', '216', '849', '137', '444']
['519', '965', '615', '833', '595', '29', '259', '678', '888', '784']
['122', '314', '753', '181', '709', '704', '948', '207', '824', '463']
['89', '762', '211', '405', '973', '690', '361', '362', '455', '630']
['796', '506', '21', '106', '116', '335', '556', '881', '212', '235']
['651', '2', '901', '322', '799', '168', '26', '422', '870', '515']
['943', '911', '981', '616', '45', '661', '288', '603', '51', '733']
['289', '227', '386', '930', '667', '963', '425', '112', '744', '17']
['243', '86', '674', '997', '895', '48', '701', '269', '327', '788']
['62', '397', '850', '403', '157', '310', '178', '838', '771', '252']
