['0', '25', '50', '75', '100', '125', '150', '175', '200', '225', '250', '275', '300', '325', '350', '375', '400', '425', '450', '475', '500', '525', '550', '575', '600', '625', '650', '675', '700', '725', '750', '775', '800', '825', '850', '875', '900', '925', '950', '975']
['1', '26', '51', '76', '101', '126', '151', '176', '201', '226', '251', '276', '301', '326', '351', '376', '401', '426', '451', '476', '501', '526', '551', '576', '601', '626', '651', '676', '701', '726', '751', '776', '801', '826', '851', '876', '901', '926', '951', '976']
['2', '27', '52', '77', '102', '127', '152', '177', '202', '227', '252', '277', '302', '327', '352', '377', '402', '427', '452', '477', '502', '527', '552', '577', '602', '627', '652', '677', '702', '727', '752', '777', '802', '827', '852', '877', '902', '927', '952', '977']
['3', '28', '53', '78', '103', '128', '153', '178', '203', '228', '253', '278', '303', '328', '353', '378', '403', '428', '453', '478', '503', '528', '553', '578', '603', '628', '653', '678', '703', '728', '753', '778', '803', '828', '853', '878', '903', '928', '953', '978']
['4', '29', '54', '79', '104', '129', '154', '179', '204', '229', '254', '279', '304', '329', '354', '379', '404', '429', '454', '479', '504', '529', '554', '579', '604', '629', '654', '679', '704', '729', '754', '779', '804', '829', '854', '879', '904', '929', '954', '979']
['5', '30', '55', '80', '105', '130', '155', '180', '205', '230', '255', '280', '305', '330', '355', '380', '405', '430', '455', '480', '505', '530', '555', '580', '605', '630', '655', '680', '705', '730', '755', '780', '805', '830', '855', '880', '905', '930', '955', '980']
['6', '31', '56', '81', '106', '131', '156', '181', '206', '231', '256', '281', '306', '331', '356', '381', '406', '431', '456', '481', '506', '531', '556', '581', '606', '631', '656', '681', '706', '731', '756', '781', '806', '831', '856', '881', '906', '931', '956', '981']
['7', '32', '57', '82', '107', '132', '157', '182', '207', '232', '257', '282', '307', '332', '357', '382', '407', '432', '457', '482', '507', '532', '557', '582', '607', '632', '657', '682', '707', '732', '757', '782', '807', '832', '857', '882', '907', '932', '957', '982']
['8', '33', '58', '83', '108', '133', '158', '183', '208', '233', '258', '283', '308', '333', '358', '383', '408', '433', '458', '483', '508', '533', '558', '583', '608', '633', '658', '683', '708', '733', '758', '783', '808', '833', '858', '883', '908', '933', '958', '983']
['9', '34', '59', '84', '109', '134', '159', '184', '209', '234', '259', '284', '309', '334', '359', '384', '409', '434', '459', '484', '509', '534', '559', '584', '609', '634', '659', '684', '709', '734', '759', '784', '809', '834', '859', '884', '909', '934', '959', '984']
['10', '35', '60', '85', '110', '135', '160', '185', '210', '235', '260', '285', '310', '335', '360', '385', '410', '435', '460', '485', '510', '535', '560', '585', '610', '635', '660', '685', '710', '735', '760', '785', '810', '835', '860', '885', '910', '935', '960', '985']
['11', '36', '61', '86', '111', '136', '161', '186', '211', '236', '261', '286', '311', '336', '361', '386', '411', '436', '461', '486', '511', '536', '561', '586', '611', '636', '661', '686', '711', '736', '761', '786', '811', '836', '861', '886', '911', '936', '961', '986']
['12', '37', '62', '87', '112', '137', '162', '187', '212', '237', '262', '287', '312', '337', '362', '387', '412', '437', '462', '487', '512', '537', '562', '587', '612', '637', '662', '687', '712', '737', '762', '787', '812', '837', '862', '887', '912', '937', '962', '987']
['13', '38', '63', '88', '113', '138', '163', '188', '213', '238', '263', '288', '313', '338', '363', '388', '413', '438', '463', '488', '513', '538', '563', '588', '613', '638', '663', '688', '713', '738', '763', '788', '813', '838', '863', '888', '913', '938', '963', '988']
