['0', '60', '120', '180', '240', '300', '360', '420', '480', '540']
['1', '61', '121', '181', '241', '301', '361', '421', '481', '541']
['2', '62', '122', '182', '242', '302', '362', '422', '482', '542']
['3', '63', '123', '183', '243', '303', '363', '423', '483', '543']
['4', '64', '124', '184', '244', '304', '364', '424', '484', '544']
['5', '65', '125', '185', '245', '305', '365', '425', '485', '545']
['6', '66', '126', '186', '246', '306', '366', '426', '486', '546']
['7', '67', '127', '187', '247', '307', '367', '427', '487', '547']
['8', '68', '128', '188', '248', '308', '368', '428', '488', '548']
['9', '69', '129', '189', '249', '309', '369', '429', '489', '549']
['10', '70', '130', '190', '250', '310', '370', '430', '490', '550']
['11', '71', '131', '191', '251', '311', '371', '431', '491', '551']
['12', '72', '132', '192', '252', '312', '372', '432', '492', '552']
['13', '73', '133', '193', '253', '313', '373', '433', '493', '553']
['14', '74', '134', '194', '254', '314', '374', '434', '494', '554']
['15', '75', '135', '195', '255', '315', '375', '435', '495', '555']
['16', '76', '136', '196', '256', '316', '376', '436', '496', '556']
['17', '77', '137', '197', '257', '317', '377', '437', '497', '557']
['18', '78', '138', '198', '258', '318', '378', '438', '498', '558']
['19', '79', '139', '199', '259', '319', '379', '439', '499', '559']
['20', '80', '140', '200', '260', '320', '380', '440', '500', '560']
['21', '81', '141', '201', '261', '321', '381', '441', '501', '561']
['22', '82', '142', '202', '262', '322', '382', '442', '502', '562']
['23', '83', '143', '203', '263', '323', '383', '443', '503', '563']
['24', '84', '144', '204', '264', '324', '384', '444', '504', '564']
['25', '85', '145', '205', '265', '325', '385', '445', '505', '565']
['26', '86', '146', '206', '266', '326', '386', '446', '506', '566']
['27', '87', '147', '207', '267', '327', '387', '447', '507', '567']
['28', '88', '148', '208', '268', '328', '388', '448', '508', '568']
['29', '89', '149', '209', '269', '329', '389', '449', '509', '569']
['30', '90', '150', '210', '270', '330', '390', '450', '510', '570']
['31', '91', '151', '211', '271', '331', '391', '451', '511', '571']
['32', '92', '152', '212', '272', '332', '392', '452', '512', '572']
['33', '93', '153', '213', '273', '333', '393', '453', '513', '573']
['34', '94', '154', '214', '274', '334', '394', '454', '514', '574']
['35', '95', '155', '215', '275', '335', '395', '455', '515', '575']
['36', '96', '156', '216', '276', '336', '396', '456', '516', '576']
['37', '97', '157', '217', '277', '337', '397', '457', '517', '577']
['38', '98', '158', '218', '278', '338', '398', '458', '518', '578']
['39', '99', '159', '219', '279', '339', '399', '459', '519', '579']
['40', '100', '160', '220', '280', '340', '400', '460', '520', '580']
['41', '101', '161', '221', '281', '341', '401', '461', '521', '581']
['42', '102', '162', '222', '282', '342', '402', '462', '522', '582']
['43', '103', '163', '223', '283', '343', '403', '463', '523', '583']
['44', '104', '164', '224', '284', '344', '404', '464', '524', '584']
['45', '105', '165', '225', '285', '345', '405', '465', '525', '585']
['46', '106', '166', '226', '286', '346', '406', '466', '526', '586']
['47', '107', '167', '227', '287', '347', '407', '467', '527', '587']
['48', '108', '168', '228', '288', '348', '408', '468', '528', '588']
['49', '109', '169', '229', '289', '349', '409', '469', '529', '589']
['50', '110', '170', '230', '290', '350', '410', '470', '530', '590']
['51', '111', '171', '231', '291', '351', '411', '471', '531', '591']
['52', '112', '172', '232', '292', '352', '412', '472', '532', '592']
['53', '113', '173', '233', '293', '353', '413', '473', '533', '593']
['54', '114', '174', '234', '294', '354', '414', '474', '534', '594']
['55', '115', '175', '235', '295', '355', '415', '475', '535', '595']
['56', '116', '176', '236', '296', '356', '416', '476', '536', '596']
['57', '117', '177', '237', '297', '357', '417', '477', '537', '597']
['58', '118', '178', '238', '298', '358', '418', '478', '538', '598']
['59', '119', '179', '239', '299', '359', '419', '479', '539', '599']
