['0', '84', '168', '252', '336', '420']
['1', '85', '169', '253', '337', '421']
['2', '86', '170', '254', '338', '422']
['87', '171', '255', '339', '423', '4']
['88', '172', '256', '340', '424', '43']
['5', '89', '173', '257', '341', '425']
['90', '174', '258', '342', '426', '10']
['7', '91', '175', '259', '343', '427']
['8', '92', '176', '260', '344', '428']
['9', '93', '177', '261', '345', '429']
['94', '178', '262', '346', '430', '21']
['11', '95', '179', '263', '347', '431']
['12', '96', '180', '264', '348', '432']
['13', '97', '265', '349', '433']
['14', '98', '182', '266', '350', '434']
['15', '99', '183', '267', '351', '435']
['16', '100', '184', '268', '352', '436']
['17', '101', '185', '269', '353', '437']
['18', '102', '186', '270', '354', '438']
['19', '103', '187', '271', '355', '439']
['20', '104', '188', '272', '356', '440']
['105', '189', '273', '357', '441', '114']
['22', '106', '190', '274', '358', '442']
['23', '107', '191', '275', '359', '443']
['24', '108', '192', '276', '360', '444']
['25', '109', '193', '277', '361', '445']
['26', '110', '194', '278', '362', '446']
['27', '195', '279', '363', '447', '416']
['28', '112', '196', '280', '364', '448']
['29', '113', '197', '281', '365', '449']
['198', '282', '366', '450', '63']
['31', '115', '199', '283', '367', '451']
['32', '116', '200', '284', '368', '452']
['33', '117', '201', '285', '369', '453']
['34', '118', '202', '286', '370', '454']
['35', '119', '203', '287', '371', '455']
['36', '120', '204', '288', '372', '456']
['37', '121', '205', '289', '373', '457']
['38', '122', '206', '290', '374', '458']
['39', '123', '207', '291', '375', '459']
['40', '124', '208', '292', '376', '460']
['41', '125', '209', '293', '377', '461']
['42', '126', '210', '294', '378', '462']
['127', '211', '295', '379', '463', '61']
['44', '212', '296', '380', '464']
['45', '129', '213', '297', '381', '465']
['46', '130', '214', '298', '382', '466']
['47', '131', '215', '299', '383', '467']
['48', '132', '216', '300', '384', '468']
['49', '133', '217', '301', '385', '469']
['50', '134', '218', '302', '386', '470']
['51', '135', '219', '303', '387', '471']
['52', '136', '220', '304', '388', '472']
['53', '137', '221', '305', '389', '473']
['54', '138', '222', '306', '390', '474']
['55', '139', '223', '307', '391', '475']
['56', '140', '224', '308', '392', '476']
['57', '141', '225', '309', '393', '477']
['58', '142', '226', '310', '394', '478']
['59', '143', '227', '311', '395', '479']
['60', '144', '228', '312', '396', '480']
['145', '229', '313', '397', '481', '128']
['62', '146', '230', '314', '398', '482']
['147', '231', '315', '399', '483', '181']
['64', '148', '232', '316', '400', '484']
['65', '149', '233', '317', '401', '485']
['66', '150', '234', '318', '402', '486']
['67', '151', '235', '319', '403', '487']
['68', '152', '236', '320', '404', '488']
['69', '153', '237', '321', '405', '489']
['70', '154', '238', '322', '406', '490']
['71', '155', '239', '323', '407', '491']
['72', '156', '240', '324', '408', '492']
['73', '157', '241', '325', '409', '493']
['74', '158', '242', '326', '410', '494']
['75', '159', '243', '327', '411', '495']
['76', '160', '244', '328', '412', '496']
['77', '161', '245', '329', '413', '497']
['78', '162', '246', '330', '414', '498']
['79', '163', '247', '331', '415', '499']
['80', '164', '248', '332', '6']
['81', '165', '249', '333', '417', '3']
['82', '166', '250', '334', '418', '111']
['83', '167', '251', '335', '419', '30']
