['146', '177', '208', '256', '270', '301', '332', '384', '394', '425', '456', '512', '518', '549', '580', '640', '642', '673', '704', '735', '768', '797', '828', '859', '896', '921', '952', '983', '1024', '1045', '1076']
['147', '178', '209', '257', '271', '302', '333', '385', '395', '426', '457', '513', '519', '550', '581', '641', '643', '674', '705', '736', '769', '798', '829', '860', '897', '922', '953', '984', '1025', '1046', '1077']
['148', '179', '210', '258', '272', '303', '334', '386', '396', '427', '458', '514', '520', '551', '582', '611', '644', '675', '706', '737', '770', '799', '830', '861', '898', '923', '954', '985', '1026', '1047', '1078']
['149', '180', '211', '259', '273', '304', '335', '387', '397', '428', '459', '515', '521', '552', '583', '612', '645', '676', '707', '738', '771', '800', '831', '862', '899', '924', '955', '986', '1027', '1048', '1079']
['150', '181', '212', '260', '274', '305', '336', '388', '398', '429', '460', '516', '522', '553', '584', '613', '646', '677', '708', '739', '772', '801', '832', '863', '900', '925', '956', '987', '1028', '1049', '1080']
['151', '182', '213', '261', '275', '306', '337', '389', '399', '430', '461', '517', '523', '554', '585', '614', '647', '678', '709', '740', '773', '802', '833', '864', '901', '926', '957', '988', '1029', '1050', '1081']
['152', '183', '214', '262', '276', '307', '338', '390', '400', '431', '462', '487', '524', '555', '586', '615', '648', '679', '710', '741', '774', '803', '834', '865', '902', '927', '958', '989', '1030', '1051', '1082']
['153', '184', '215', '263', '277', '308', '339', '391', '401', '432', '463', '488', '525', '556', '587', '616', '649', '680', '711', '742', '775', '804', '835', '866', '903', '928', '959', '990', '1031', '1052', '1083']
['154', '185', '216', '264', '278', '309', '340', '392', '402', '433', '464', '489', '526', '557', '588', '617', '650', '681', '712', '743', '776', '805', '836', '867', '904', '929', '960', '991', '1032', '1053', '1084']
['155', '186', '217', '265', '279', '310', '341', '393', '403', '434', '465', '490', '527', '558', '589', '618', '651', '682', '713', '744', '777', '806', '837', '868', '905', '930', '961', '992', '1033', '1054', '1085']
['156', '187', '218', '266', '280', '311', '342', '363', '404', '435', '466', '491', '528', '559', '590', '619', '652', '683', '714', '745', '778', '807', '838', '869', '906', '931', '962', '993', '1034', '1055', '1086']
['157', '188', '219', '267', '281', '312', '343', '364', '405', '436', '467', '492', '529', '560', '591', '620', '653', '684', '715', '746', '779', '808', '839', '870', '907', '932', '963', '994', '1035', '1056', '1087']
['158', '189', '220', '268', '282', '313', '344', '365', '406', '437', '468', '493', '530', '561', '592', '621', '654', '685', '716', '747', '780', '809', '840', '871', '908', '933', '964', '995', '1036', '1057', '1088']
['159', '190', '221', '269', '283', '314', '345', '366', '407', '438', '469', '494', '531', '562', '593', '622', '655', '686', '717', '748', '781', '810', '841', '872', '909', '934', '965', '996', '1037', '1058', '1089']
['160', '191', '222', '239', '284', '315', '346', '367', '408', '439', '470', '495', '532', '563', '594', '623', '656', '687', '718', '749', '782', '811', '842', '873', '910', '935', '966', '997', '1038', '1059', '1090']
