['779', '234', '298', '919', '937', '977', '983', '212', '846', '741', '953', '556', '669', '867', '67', '59', '876', '509', '794', '391', '572', '79', '182', '853', '75']
['446', '331', '281', '204', '283', '848', '179', '735', '223', '715', '499', '856', '505', '811', '590', '972', '858', '636', '449', '610', '966', '423', '557', '974', '791']
['743', '388', '416', '477', '721', '546', '891', '456', '766', '576', '196', '246', '7', '159', '829', '303', '941', '248', '256', '103', '406', '2', '699', '143', '800']
['615', '239', '603', '413', '387', '638', '559', '325', '643', '514', '814', '312', '111', '874', '884', '395', '13', '976', '326', '191', '922', '569', '709', '62', '722']
['92', '398', '532', '232', '89', '120', '488', '268', '142', '792', '667', '594', '714', '905', '647', '549', '539', '470', '405', '261', '850', '12', '933', '863', '170']
['433', '50', '728', '107', '473', '55', '40', '993', '894', '653', '346', '458', '785', '495', '519', '662', '345', '214', '217', '494', '122', '184', '657', '501', '118']
['24', '385', '704', '930', '889', '389', '717', '176', '690', '660', '211', '174', '238', '221', '835', '819', '424', '664', '392', '426', '397', '297', '768', '907', '148']
['831', '560', '731', '251', '689', '342', '125', '932', '153', '675', '466', '32', '924', '83', '262', '359', '291', '788', '859', '364', '41', '496', '400', '350', '830']
['508', '492', '961', '841', '448', '484', '810', '720', '226', '880', '600', '542', '22', '705', '334', '396', '543', '624', '486', '127', '885', '906', '767', '790', '119']
['778', '308', '553', '481', '376', '267', '306', '607', '302', '425', '348', '789', '301', '842', '813', '683', '352', '478', '378', '620', '156', '101', '53', '444', '645']
['900', '650', '99', '521', '163', '370', '737', '585', '826', '80', '243', '797', '164', '472', '4', '189', '670', '663', '550', '195', '152', '659', '54', '360', '998']
['815', '247', '909', '296', '751', '855', '149', '522', '81', '619', '245', '588', '213', '15', '454', '719', '94', '902', '115', '197', '772', '969', '605', '649', '627']
['328', '738', '918', '742', '623', '996', '71', '711', '114', '871', '229', '124', '280', '386', '613', '631', '277', '581', '218', '132', '6', '377', '194', '997', '536']
['658', '989', '401', '383', '897', '748', '253', '259', '343', '762', '836', '207', '692', '93', '409', '868', '931', '529', '284', '644', '960', '330', '982', '175', '679']
['637', '673', '155', '973', '759', '568', '706', '949', '333', '224', '823', '95', '373', '601', '436', '723', '992', '225', '980', '513', '571', '882', '126', '429', '746']
['399', '760', '975', '582', '968', '707', '443', '697', '911', '903', '66', '632', '287', '485', '82', '33', '257', '452', '849', '72', '595', '37', '49', '353', '26']
['864', '940', '371', '461', '431', '16', '61', '991', '934', '434', '648', '19', '222', '507', '324', '219', '462', '809', '563', '112', '198', '479', '108', '554', '913']
['964', '955', '862', '139', '117', '881', '901', '278', '593', '984', '135', '490', '927', '294', '313', '432', '471', '497', '145', '252', '304', '796', '967', '851', '994']
['357', '39', '752', '962', '216', '727', '45', '781', '857', '573', '123', '655', '244', '773', '300', '230', '237', '820', '547', '231', '840', '147', '295', '713', '202']
['228', '173', '633', '73', '467', '666', '70', '510', '169', '825', '587', '273', '199', '776', '74', '172', '818', '544', '828', '305', '427', '98', '552', '250', '948']
['414', '264', '570', '435', '725', '84', '375', '533', '604', '181', '763', '784', '171', '503', '21', '166', '606', '565', '146', '315', '942', '702', '311', '314', '957']
['363', '887', '555', '263', '374', '31', '990', '417', '656', '612', '845', '523', '712', '520', '672', '807', '38', '724', '635', '787', '703', '765', '85', '925', '286']
['493', '584', '180', '463', '527', '816', '592', '694', '965', '158', '910', '292', '58', '668', '950', '696', '530', '755', '288', '798', '316', '979', '46', '749', '578']
['338', '651', '923', '640', '936', '188', '178', '817', '502', '985', '187', '489', '25', '35', '540', '834', '677', '837', '518', '625', '597', '91', '47', '947', '865']
['729', '674', '883', '564', '192', '515', '34', '110', '362', '140', '599', '419', '272', '652', '208', '1', '44', '279', '574', '344', '154', '899', '42', '138', '952']
['482', '206', '240', '235', '827', '460', '323', '860', '69', '611', '793', '10', '646', '269', '113', '528', '732', '451', '981', '562', '335', '469', '916', '896', '872']
['524', '736', '430', '365', '538', '327', '100', '847', '616', '8', '978', '680', '390', '678', '459', '384', '774', '457', '733', '65', '349', '506', '661', '160', '893']
['185', '892', '920', '421', '770', '806', '367', '551', '808', '839', '442', '535', '361', '254', '307', '134', '824', '734', '701', '586', '130', '531', '688', '579', '144']
['517', '641', '676', '750', '23', '782', '771', '319', '821', '561', '355', '318', '354', '372', '36', '833', '634', '438', '685', '545', '726', '695', '504', '205', '168']
['929', '844', '716', '686', '128', '453', '329', '739', '921', '799', '136', '56', '447', '63', '351', '322', '116', '954', '428', '580', '131', '445', '282', '290', '740']
['347', '476', '356', '102', '951', '109', '904', '410', '183', '186', '96', '999', '946', '200', '843', '258', '52', '105', '591', '609', '321', '780', '895', '878', '970']
['151', '575', '629', '233', '415', '747', '944', '165', '309', '753', '483', '710', '718', '341', '266', '995', '783', '987', '255', '339', '407', '437', '129', '665', '630']
['886', '708', '193', '162', '88', '628', '838', '270', '698', '420', '912', '757', '249', '935', '541', '464', '106', '745', '104', '986', '402', '121', '404', '525', '870']
['684', '366', '971', '621', '938', '614', '598', '548', '86', '914', '57', '693', '465', '805', '803', '756', '475', '209', '654', '764', '491', '201', '43', '566', '137']
['11', '227', '336', '382', '691', '3', '271', '418', '332', '744', '299', '943', '310', '890', '812', '618', '293', '440', '596', '242', '394', '802', '681', '358', '963']
['879', '583', '167', '393', '945', '786', '141', '379', '761', '90', '29', '260', '380', '381', '832', '18', '369', '642', '608', '455', '480', '77', '64', '450', '68']
['30', '408', '959', '854', '804', '210', '888', '220', '875', '526', '775', '928', '795', '801', '28', '275', '988', '215', '537', '534', '558', '671', '320', '177', '917']
['274', '700', '754', '60', '758', '577', '908', '869', '498', '236', '337', '412', '76', '317', '682', '150', '276', '203', '822', '687', '915', '87', '27', '877', '639']
['769', '516', '866', '441', '190', '51', '589', '78', '512', '939', '5', '17', '622', '97', '48', '439', '161', '241', '852', '500', '873', '20', '956', '567', '14']
['340', '602', '285', '411', '468', '422', '926', '626', '368', '777', '133', '9', '289', '617', '958', '265', '898', '474', '861', '730', '403', '511', '0', '157', '487']
