['313', '603', '731', '668', '213', '99', '703', '780', '762', '315']
['51', '484', '462', '746', '305', '659', '1', '736', '474', '582']
['340', '708', '76', '534', '48', '206', '576', '138', '429', '572']
['184', '487', '402', '234', '661', '510', '717', '353', '475', '92']
['351', '522', '776', '363', '673', '133', '229', '132', '309', '571']
['651', '566', '249', '623', '129', '216', '738', '336', '627', '10']
['369', '298', '352', '262', '250', '349', '394', '791', '565', '720']
['316', '638', '585', '260', '5', '602', '597', '346', '63', '590']
['246', '536', '608', '642', '39', '176', '455', '789', '782', '320']
['370', '191', '434', '671', '593', '232', '337', '563', '777', '296']
['100', '666', '94', '113', '557', '483', '610', '319', '444', '486']
['586', '785', '115', '105', '607', '375', '60', '520', '292', '655']
['427', '368', '328', '543', '380', '183', '381', '22', '66', '325']
['152', '470', '664', '710', '509', '714', '200', '503', '771', '161']
['539', '682', '531', '419', '755', '323', '721', '345', '795', '613']
['677', '126', '251', '417', '282', '56', '639', '258', '277', '379']
['584', '744', '546', '322', '737', '181', '95', '107', '41', '562']
['172', '515', '82', '281', '412', '29', '630', '214', '502', '287']
['656', '33', '8', '480', '588', '760', '644', '50', '151', '620']
['728', '222', '372', '506', '471', '686', '212', '26', '518', '409']
['392', '719', '742', '220', '38', '672', '290', '224', '91', '310']
['485', '573', '125', '101', '18', '217', '415', '239', '203', '473']
['761', '145', '204', '453', '135', '773', '757', '650', '712', '158']
['131', '550', '556', '34', '724', '692', '611', '136', '528', '497']
['302', '657', '228', '194', '389', '153', '348', '59', '577', '210']
['403', '749', '331', '548', '20', '364', '35', '488', '261', '478']
['463', '674', '88', '169', '741', '141', '197', '752', '123', '441']
['541', '70', '663', '614', '243', '706', '559', '154', '469', '68']
['595', '414', '32', '691', '569', '355', '253', '653', '477', '700']
['481', '390', '753', '547', '173', '362', '420', '496', '574', '186']
['383', '702', '754', '645', '676', '248', '555', '404', '255', '53']
['97', '410', '240', '13', '110', '291', '580', '514', '288', '479']
['647', '685', '148', '433', '609', '524', '786', '493', '449', '274']
['646', '395', '365', '624', '730', '300', '437', '408', '297', '143']
['338', '758', '648', '482', '332', '112', '693', '84', '47', '146']
['175', '157', '241', '618', '451', '317', '361', '751', '537', '87']
['156', '769', '458', '242', '324', '397', '424', '587', '144', '694']
['61', '342', '432', '634', '168', '423', '140', '195', '538', '376']
['27', '208', '367', '492', '312', '190', '14', '358', '583', '354']
['2', '384', '727', '764', '467', '54', '128', '430', '788', '117']
['690', '218', '150', '560', '385', '649', '734', '635', '711', '774']
['162', '654', '104', '174', '79', '448', '205', '798', '37', '756']
['90', '684', '62', '799', '723', '388', '406', '142', '501', '498']
['596', '28', '299', '237', '625', '344', '713', '678', '391', '359']
['21', '16', '221', '411', '456', '792', '311', '643', '124', '592']
['554', '202', '177', '371', '601', '568', '373', '499', '440', '165']
['159', '0', '134', '732', '182', '621', '211', '768', '709', '667']
['163', '698', '19', '111', '421', '637', '740', '461', '631', '119']
['273', '279', '188', '106', '735', '209', '185', '98', '472', '227']
['606', '549', '675', '31', '697', '65', '652', '42', '715', '632']
['382', '137', '669', '24', '334', '704', '219', '750', '508', '11']
['688', '705', '658', '343', '339', '612', '436', '619', '201', '516']
['122', '770', '276', '295', '545', '245', '155', '64', '264', '748']
['526', '622', '307', '303', '439', '109', '494', '525', '166', '180']
['275', '45', '725', '236', '377', '745', '30', '12', '759', '326']
['790', '443', '233', '286', '544', '23', '252', '797', '335', '418']
['662', '551', '386', '44', '267', '445', '529', '591', '687', '293']
['660', '81', '491', '495', '599', '341', '628', '268', '75', '640']
['794', '269', '581', '564', '85', '187', '306', '230', '318', '314']
['689', '196', '72', '490', '360', '329', '73', '523', '578', '67']
['400', '231', '301', '521', '393', '171', '167', '284', '108', '17']
['542', '52', '512', '766', '192', '278', '442', '422', '530', '416']
['772', '743', '575', '399', '347', '86', '330', '778', '701', '6']
['507', '189', '356', '459', '71', '670', '9', '285', '747', '681']
['198', '517', '387', '257', '207', '118', '350', '466', '294', '43']
['89', '36', '401', '103', '3', '78', '223', '139', '357', '193']
['468', '304', '679', '779', '446', '716', '333', '567', '784', '763']
['96', '604', '511', '793', '164', '121', '775', '476', '80', '378']
['102', '265', '259', '407', '4', '147', '464', '170', '426', '179']
['589', '629', '558', '46', '594', '69', '247', '283', '272', '266']
['120', '598', '683', '553', '726', '722', '25', '57', '781', '707']
['225', '616', '289', '739', '699', '93', '127', '615', '74', '280']
['533', '500', '767', '552', '600', '733', '238', '366', '696', '308']
['7', '271', '116', '457', '178', '58', '263', '235', '680', '270']
['460', '665', '540', '428', '535', '532', '244', '114', '605', '413']
['465', '405', '15', '254', '636', '787', '765', '327', '519', '55']
['641', '40', '454', '527', '149', '160', '633', '783', '796', '256']
['435', '226', '130', '447', '321', '199', '513', '452', '215', '438']
['579', '695', '617', '396', '504', '77', '729', '450', '489', '626']
['425', '505', '83', '49', '431', '561', '570', '398', '374', '718']
