['13', '8', '351', '436', '89', '178', '215', '175', '401', '168', '115', '253', '460', '489', '69', '165', '370', '358', '461', '364', '471', '131', '397', '451', '97']
['360', '60', '120', '37', '265', '78', '57', '276', '413', '220', '472', '56', '212', '216', '28', '77', '382', '427', '229', '207', '356', '435', '428', '141', '104']
['453', '228', '292', '269', '14', '130', '88', '390', '497', '4', '113', '388', '121', '468', '266', '5', '55', '235', '108', '445', '252', '450', '12', '304', '204']
['378', '242', '459', '423', '340', '496', '478', '330', '467', '73', '143', '103', '437', '395', '250', '17', '1', '381', '65', '281', '369', '22', '402', '98', '380']
['299', '338', '355', '362', '297', '227', '64', '159', '72', '210', '247', '197', '51', '400', '383', '354', '32', '487', '112', '79', '129', '248', '379', '36', '337']
['144', '45', '348', '404', '317', '192', '48', '261', '54', '403', '476', '186', '389', '118', '234', '458', '224', '470', '293', '399', '462', '386', '452', '477', '116']
['203', '160', '40', '425', '194', '39', '446', '232', '153', '155', '344', '27', '424', '415', '324', '305', '218', '258', '486', '327', '236', '283', '205', '136', '200']
['309', '313', '442', '457', '75', '109', '59', '101', '481', '434', '2', '277', '163', '172', '418', '491', '132', '440', '92', '326', '431', '393', '174', '249', '371']
['34', '441', '447', '176', '156', '151', '110', '412', '87', '353', '68', '193', '466', '140', '498', '290', '213', '185', '271', '177', '254', '237', '246', '320', '285']
['26', '245', '157', '414', '202', '162', '352', '211', '322', '19', '484', '93', '230', '294', '201', '419', '196', '199', '372', '483', '328', '319', '298', '18', '391']
['241', '83', '84', '367', '308', '146', '274', '208', '31', '142', '417', '473', '125', '128', '289', '149', '233', '107', '251', '182', '336', '63', '231', '106', '223']
['9', '124', '226', '350', '47', '222', '387', '35', '152', '102', '377', '257', '50', '323', '206', '6', '444', '490', '23', '312', '239', '302', '384', '485', '398']
['244', '311', '154', '262', '133', '410', '53', '67', '443', '90', '49', '406', '256', '15', '426', '138', '20', '325', '240', '171', '456', '421', '482', '3', '493']
['105', '316', '263', '198', '314', '280', '288', '127', '432', '219', '42', '243', '167', '359', '91', '339', '85', '158', '407', '161', '310', '479', '464', '267', '76']
['307', '494', '70', '488', '374', '214', '71', '365', '119', '117', '122', '430', '100', '463', '357', '81', '499', '145', '343', '0', '368', '341', '62', '408', '61']
['345', '334', '225', '255', '329', '273', '134', '465', '342', '331', '264', '349', '66', '179', '96', '260', '147', '291', '41', '373', '238', '80', '169', '170', '363']
['416', '282', '137', '74', '188', '184', '318', '25', '347', '44', '306', '385', '303', '332', '272', '95', '455', '366', '111', '191', '454', '86', '411', '480', '335']
['492', '209', '46', '148', '99', '139', '7', '284', '286', '29', '164', '217', '189', '24', '409', '301', '439', '296', '43', '394', '315', '221', '346', '361', '33']
['438', '259', '295', '495', '449', '195', '173', '287', '422', '180', '94', '58', '123', '10', '429', '52', '135', '114', '268', '11', '183', '187', '376', '30', '16']
['190', '420', '279', '475', '275', '469', '396', '21', '278', '126', '38', '270', '405', '433', '474', '333', '448', '181', '166', '375', '300', '392', '82', '321', '150']
