['732', '533', '699', '670', '302', '123', '747', '564', '347', '210', '408', '624', '41', '244', '368', '396', '105', '469', '166', '361', '735', '736', '350', '612', '506', '97', '111', '677', '81', '252', '421', '196', '116', '446', '628', '660', '341', '442', '579', '330', '514', '402', '333', '441', '88', '592', '149', '3', '722', '349']
['23', '308', '233', '482', '169', '587', '7', '268', '412', '178', '462', '143', '541', '303', '54', '137', '87', '645', '571', '32', '519', '713', '695', '450', '1', '603', '487', '256', '55', '507', '317', '114', '326', '79', '165', '516', '468', '110', '179', '544', '148', '274', '74', '278', '72', '485', '117', '496', '392', '229']
['156', '723', '113', '264', '728', '92', '610', '353', '463', '492', '211', '37', '332', '674', '738', '501', '380', '255', '286', '356', '141', '90', '305', '65', '293', '471', '640', '277', '14', '8', '239', '300', '415', '557', '538', '340', '275', '532', '661', '405', '430', '227', '126', '522', '208', '630', '28', '119', '613', '561']
['69', '71', '315', '578', '513', '313', '503', '668', '134', '737', '614', '285', '58', '658', '93', '572', '711', '573', '270', '428', '411', '253', '53', '201', '98', '348', '273', '409', '719', '694', '152', '562', '221', '497', '207', '708', '545', '346', '354', '338', '388', '188', '370', '647', '205', '294', '159', '560', '553', '343']
['147', '136', '175', '101', '51', '439', '128', '237', '63', '45', '643', '16', '678', '649', '61', '615', '204', '657', '565', '654', '398', '158', '4', '316', '414', '594', '153', '387', '499', '109', '248', '42', '427', '433', '464', '534', '60', '209', '140', '107', '267', '241', '526', '322', '212', '35', '250', '64', '590', '638']
['108', '598', '473', '585', '259', '232', '177', '474', '710', '269', '262', '187', '19', '68', '435', '89', '611', '574', '716', '217', '509', '443', '288', '720', '144', '558', '601', '502', '476', '583', '436', '206', '155', '456', '542', '547', '734', '131', '29', '30', '115', '231', '307', '512', '467', '698', '129', '296', '600', '618']
['70', '327', '335', '410', '385', '25', '339', '494', '505', '386', '125', '684', '465', '50', '291', '139', '691', '707', '490', '650', '394', '475', '733', '167', '646', '287', '429', '418', '127', '477', '382', '242', '424', '355', '726', '515', '619', '160', '453', '18', '664', '555', '486', '478', '705', '523', '511', '374', '629', '743']
['742', '183', '218', '568', '606', '634', '84', '481', '609', '234', '34', '138', '422', '314', '663', '289', '243', '706', '132', '715', '580', '325', '589', '491', '298', '337', '247', '78', '124', '425', '284', '498', '510', '5', '539', '550', '596', '696', '80', '500', '164', '276', '26', '662', '397', '554', '216', '400', '639', '377']
['552', '189', '484', '373', '120', '543', '622', '607', '623', '434', '173', '297', '364', '489', '157', '676', '730', '461', '688', '531', '709', '21', '440', '67', '426', '576', '258', '451', '224', '431', '666', '495', '667', '517', '225', '530', '40', '319', '651', '479', '228', '365', '745', '637', '310', '182', '6', '106', '100', '391']
['551', '376', '135', '702', '528', '399', '181', '593', '230', '66', '675', '671', '151', '480', '299', '43', '419', '295', '103', '22', '690', '444', '306', '96', '311', '331', '362', '372', '363', '272', '652', '85', '535', '168', '683', '457', '99', '122', '721', '685', '271', '588', '31', '146', '83', '191', '154', '423', '466', '449']
['566', '725', '200', '455', '673', '504', '393', '38', '11', '86', '549', '632', '292', '344', '577', '336', '540', '729', '36', '261', '559', '75', '371', '185', '91', '717', '318', '312', '202', '460', '33', '24', '203', '39', '369', '194', '186', '390', '279', '521', '357', '329', '740', '174', '304', '520', '570', '575', '334', '536']
['381', '62', '246', '383', '366', '712', '257', '59', '447', '328', '47', '672', '15', '384', '214', '77', '655', '367', '635', '438', '701', '602', '195', '358', '56', '375', '679', '472', '251', '437', '280', '692', '546', '150', '351', '582', '584', '642', '625', '727', '681', '586', '378', '404', '407', '741', '48', '76', '49', '266']
['249', '483', '563', '569', '180', '724', '395', '46', '17', '700', '389', '689', '27', '417', '617', '636', '432', '12', '282', '20', '581', '309', '493', '184', '342', '529', '192', '527', '112', '548', '145', '620', '170', '220', '73', '222', '749', '118', '104', '459', '669', '379', '680', '591', '199', '626', '714', '739', '240', '95']
['627', '245', '44', '290', '597', '133', '697', '406', '605', '235', '413', '190', '130', '454', '665', '416', '142', '82', '263', '301', '0', '172', '648', '631', '236', '163', '345', '401', '656', '321', '452', '171', '254', '608', '265', '595', '161', '621', '13', '102', '420', '213', '458', '320', '644', '659', '226', '682', '2', '52']
['352', '223', '283', '121', '162', '693', '556', '448', '260', '9', '518', '94', '445', '215', '731', '525', '323', '524', '616', '537', '703', '687', '470', '744', '508', '488', '604', '359', '718', '653', '633', '360', '641', '193', '219', '403', '197', '704', '567', '238', '10', '748', '599', '57', '324', '746', '686', '198', '176', '281']
