['949', '429', '536', '573', '766', '610', '248', '458', '403', '647']
['628', '291', '48', '130', '840', '881', '189', '898', '832', '918']
['638', '2', '649', '718', '830', '532', '287', '944', '333', '168']
['563', '889', '419', '857', '893', '909', '819', '661', '943', '280']
['531', '77', '96', '705', '282', '600', '80', '436', '40', '870']
['335', '357', '402', '788', '693', '299', '551', '171', '95', '529']
['277', '957', '900', '930', '565', '612', '798', '586', '560', '771']
['404', '698', '524', '239', '782', '954', '84', '507', '50', '206']
['885', '12', '264', '399', '681', '510', '394', '138', '688', '696']
['43', '378', '244', '553', '283', '55', '854', '697', '622', '312']
['998', '821', '717', '659', '899', '358', '556', '513', '932', '838']
['33', '632', '485', '750', '328', '511', '572', '562', '71', '197']
['150', '307', '827', '822', '829', '775', '554', '405', '866', '665']
['257', '208', '916', '593', '587', '877', '781', '114', '787', '484']
['686', '713', '393', '503', '79', '167', '42', '475', '161', '780']
['369', '162', '683', '755', '663', '381', '763', '228', '233', '561']
['16', '690', '567', '321', '486', '803', '548', '966', '44', '952']
['685', '181', '18', '361', '430', '905', '847', '65', '682', '129']
['892', '841', '668', '215', '297', '895', '981', '680', '27', '9']
['306', '368', '127', '835', '218', '266', '477', '820', '629', '489']
['78', '232', '198', '123', '549', '920', '902', '760', '999', '224']
['417', '815', '64', '960', '101', '634', '585', '372', '217', '547']
['389', '776', '14', '24', '471', '37', '539', '179', '758', '699']
['143', '414', '499', '728', '842', '26', '845', '891', '221', '542']
['380', '876', '426', '354', '293', '938', '229', '530', '276', '837']
['31', '757', '488', '188', '327', '226', '654', '451', '658', '200']
['625', '146', '719', '980', '439', '223', '759', '164', '862', '348']
['57', '505', '29', '972', '704', '515', '424', '337', '744', '514']
['338', '604', '695', '363', '268', '731', '640', '87', '816', '104']
['802', '745', '444', '508', '797', '411', '259', '467', '353', '997']
['258', '121', '621', '13', '131', '956', '310', '147', '32', '30']
['749', '767', '996', '94', '594', '852', '134', '35', '988', '751']
['400', '624', '897', '490', '566', '356', '412', '367', '252', '735']
['863', '163', '517', '792', '343', '41', '225', '906', '730', '462']
['867', '544', '302', '657', '716', '955', '884', '62', '592', '570']
['789', '38', '209', '650', '984', '754', '1', '473', '664', '122']
['290', '443', '388', '437', '25', '303', '512', '325', '39', '670']
['533', '753', '985', '285', '919', '8', '626', '345', '882', '911']
['406', '90', '977', '770', '599', '115', '636', '106', '382', '220']
['596', '582', '752', '422', '23', '648', '786', '874', '741', '231']
['726', '366', '801', '742', '869', '82', '809', '666', '352', '860']
['67', '756', '623', '710', '492', '831', '300', '858', '935', '880']
['501', '872', '190', '116', '320', '464', '177', '941', '160', '19']
['269', '457', '574', '843', '708', '481', '85', '991', '256', '117']
['11', '155', '761', '886', '351', '440', '707', '504', '45', '703']
['142', '591', '93', '983', '431', '989', '222', '509', '227', '609']
['59', '844', '0', '54', '825', '377', '214', '261', '493', '541']
['875', '445', '289', '994', '172', '245', '364', '204', '68', '733']
['355', '715', '887', '927', '806', '519', '903', '463', '613', '91']
['427', '740', '374', '888', '643', '630', '408', '249', '304', '627']
['976', '176', '607', '723', '185', '423', '253', '105', '764', '917']
['315', '859', '207', '907', '537', '107', '449', '243', '653', '555']
['309', '921', '848', '942', '833', '324', '133', '736', '254', '438']
['175', '205', '340', '180', '644', '329', '195', '762', '469', '601']
['850', '344', '69', '795', '375', '641', '721', '97', '814', '678']
['236', '526', '939', '660', '520', '995', '846', '270', '812', '958']
['6', '538', '737', '386', '199', '804', '959', '727', '53', '295']
['72', '341', '474', '407', '20', '151', '483', '934', '347', '349']
['112', '518', '667', '926', '494', '89', '633', '793', '807', '454']
['937', '350', '851', '137', '694', '219', '136', '778', '36', '904']
['914', '118', '865', '342', '413', '251', '963', '7', '969', '646']
['100', '288', '662', '456', '132', '56', '856', '765', '319', '390']
['99', '931', '387', '535', '915', '871', '839', '318', '768', '418']
['420', '584', '700', '247', '15', '109', '265', '993', '294', '834']
['552', '743', '655', '879', '442', '263', '202', '453', '656', '794']
['635', '157', '853', '401', '103', '169', '323', '170', '391', '272']
['967', '203', '152', '74', '385', '455', '373', '651', '823', '113']
['677', '281', '46', '432', '446', '360', '773', '410', '774', '428']
['10', '580', '527', '183', '465', '156', '194', '709', '947', '111']
['158', '982', '126', '712', '498', '75', '734', '583', '359', '729']
['783', '714', '61', '500', '184', '178', '139', '901', '873', '933']
['159', '5', '720', '868', '817', '652', '149', '523', '154', '784']
['63', '575', '739', '746', '460', '545', '614', '687', '331', '973']
['811', '521', '968', '894', '17', '476', '986', '990', '908', '92']
['273', '58', '392', '824', '962', '336', '238', '528', '296', '339']
['769', '120', '47', '992', '578', '362', '308', '568', '409', '826']
['216', '286', '631', '818', '534', '102', '571', '237', '890', '669']
['271', '738', '396', '398', '240', '125', '543', '929', '676', '559']
['305', '73', '376', '317', '346', '34', '174', '192', '22', '284']
['213', '864', '946', '242', '590', '808', '153', '619', '924', '21']
['241', '645', '314', '810', '292', '777', '620', '144', '148', '191']
['487', '615', '425', '598', '502', '255', '861', '849', '70', '671']
['383', '212', '4', '948', '974', '557', '165', '370', '470', '262']
['260', '447', '397', '979', '951', '3', '606', '334', '987', '550']
['799', '182', '416', '702', '617', '674', '51', '701', '679', '637']
['434', '450', '672', '52', '433', '910', '461', '173', '950', '246']
['800', '970', '76', '395', '558', '110', '564', '581', '275', '706']
['576', '796', '66', '642', '330', '813', '928', '925', '675', '28']
['60', '828', '805', '141', '691', '415', '603', '961', '472', '371']
['953', '326', '975', '187', '506', '855', '234', '491', '922', '692']
['579', '459', '128', '964', '135', '480', '81', '724', '878', '193']
['639', '516', '311', '912', '86', '108', '274', '595', '496', '611']
['230', '478', '711', '616', '124', '495', '145', '971', '140', '748']
['589', '525', '332', '435', '211', '936', '546', '379', '186', '466']
