['496', '577', '887', '493', '695']
['217', '784', '860', '759', '920']
['924', '571', '630', '960', '52']
['911', '551', '194', '443', '446']
['432', '809', '273', '21', '585']
['396', '810', '660', '917', '749']
['47', '83', '124', '508', '669']
['249', '937', '380', '240', '258']
['779', '944', '650', '813', '327']
['326', '246', '957', '172', '558']
['537', '790', '221', '325', '131']
['384', '672', '914', '406', '371']
['100', '985', '358', '36', '787']
['180', '912', '741', '778', '202']
['120', '356', '545', '46', '17']
['297', '935', '767', '345', '435']
['995', '274', '105', '855', '342']
['171', '948', '283', '837', '764']
['763', '29', '500', '108', '575']
['732', '79', '96', '296', '218']
['601', '942', '554', '773', '594']
['808', '676', '309', '231', '94']
['439', '548', '69', '524', '418']
['413', '479', '189', '234', '563']
['465', '620', '314', '710', '915']
['692', '458', '224', '696', '991']
['98', '617', '716', '760', '352']
['794', '179', '679', '889', '129']
['187', '642', '136', '951', '460']
['220', '158', '614', '958', '40']
['703', '840', '332', '552', '452']
['235', '909', '359', '453', '168']
['145', '857', '694', '515', '93']
['565', '896', '387', '709', '198']
['444', '37', '966', '57', '263']
['319', '450', '655', '31', '434']
['754', '64', '812', '953', '322']
['593', '635', '726', '930', '683']
['928', '625', '135', '627', '149']
['659', '260', '758', '5', '73']
['853', '623', '770', '895', '405']
['193', '245', '463', '424', '875']
['881', '964', '225', '884', '738']
['517', '993', '713', '123', '385']
['11', '408', '618', '80', '999']
['878', '589', '788', '126', '727']
['454', '361', '735', '807', '945']
['32', '114', '664', '26', '568']
['611', '705', '175', '305', '276']
['78', '349', '232', '817', '205']
['573', '48', '586', '667', '125']
['883', '892', '640', '519', '264']
['819', '848', '484', '838', '316']
['728', '442', '540', '192', '451']
['186', '156', '328', '414', '925']
['947', '211', '684', '941', '553']
['223', '606', '148', '195', '823']
['739', '310', '188', '9', '936']
['961', '364', '425', '76', '393']
['51', '489', '542', '207', '282']
['785', '910', '846', '656', '472']
['849', '343', '318', '71', '483']
['651', '344', '668', '505', '459']
['431', '641', '416', '707', '518']
['702', '250', '122', '404', '56']
['876', '74', '886', '301', '492']
['528', '562', '467', '286', '485']
['503', '534', '403', '742', '918']
['269', '219', '333', '204', '60']
['956', '376', '835', '644', '130']
['654', '905', '462', '461', '166']
['904', '66', '456', '285', '24']
['861', '751', '23', '750', '152']
['176', '533', '885', '374', '320']
['530', '646', '561', '272', '476']
['3', '86', '622', '820', '580']
['102', '636', '140', '926', '990']
['959', '499', '723', '591', '259']
['2', '159', '629', '167', '872']
['398', '181', '511', '584', '87']
['792', '338', '633', '729', '471']
['597', '115', '868', '769', '962']
['141', '697', '789', '774', '428']
['856', '946', '275', '226', '818']
['482', '648', '736', '116', '412']
['657', '814', '801', '581', '643']
['722', '997', '209', '572', '388']
['255', '284', '841', '133', '609']
['354', '18', '43', '544', '706']
['765', '631', '612', '248', '979']
['287', '457', '92', '888', '466']
['350', '262', '725', '157', '67']
['693', '776', '719', '802', '266']
['862', '409', '143', '874', '645']
['954', '535', '546', '950', '799']
['907', '891', '967', '616', '436']
['531', '578', '600', '34', '90']
['271', '569', '602', '816', '922']
['986', '300', '106', '624', '197']
['311', '363', '675', '890', '42']
['55', '638', '798', '117', '144']
['20', '782', '360', '254', '724']
['897', '82', '666', '184', '134']
['771', '859', '576', '270', '253']
['815', '880', '498', '38', '150']
['931', '329', '121', '740', '394']
['671', '468', '288', '674', '691']
['335', '494', '579', '825', '501']
['677', '281', '91', '426', '592']
['678', '536', '984', '549', '213']
['280', '137', '236', '504', '685']
['381', '698', '277', '900', '621']
['971', '481', '525', '70', '419']
['906', '826', '399', '550', '804']
['720', '718', '317', '781', '63']
['306', '902', '477', '169', '30']
['178', '290', '295', '190', '839']
['4', '521', '191', '506', '929']
['757', '151', '870', '952', '811']
['397', '555', '989', '308', '599']
['852', '242', '488', '834', '547']
['865', '793', '780', '185', '278']
['689', '734', '777', '61', '13']
['858', '340', '252', '104', '610']
['14', '368', '265', '746', '626']
['45', '795', '369', '469', '455']
['203', '216', '49', '423', '261']
['165', '898', '845', '762', '649']
['370', '208', '256', '791', '753']
['844', '587', '101', '532', '362']
['341', '128', '822', '615', '401']
['983', '427', '10', '507', '58']
['963', '422', '701', '312', '383']
['934', '992', '222', '783', '557']
['673', '379', '700', '604', '893']
['142', '445', '529', '976', '164']
['447', '899', '938', '786', '919']
['752', '25', '410', '768', '830']
['138', '559', '628', '417', '0']
['619', '873', '637', '268', '298']
['894', '987', '688', '647', '420']
['596', '761', '805', '162', '449']
['54', '661', '520', '955', '229']
['214', '348', '598', '927', '731']
['22', '486', '708', '323', '153']
['939', '800', '337', '490', '663']
['161', '973', '541', '402', '491']
['346', '564', '88', '307', '336']
['441', '334', '522', '539', '247']
['302', '16', '243', '743', '339']
['139', '210', '1', '313', '206']
['267', '744', '829', '89', '566']
['851', '375', '119', '969', '132']
['502', '365', '241', '932', '107']
['421', '50', '7', '392', '863']
['796', '19', '39', '97', '681']
['715', '916', '994', '828', '303']
['824', '59', '831', '513', '437']
['836', '982', '686', '44', '737']
['407', '35', '84', '182', '512']
['475', '75', '843', '605', '543']
['682', '972', '212', '324', '806']
['833', '430', '745', '72', '464']
['321', '196', '560', '433', '174']
['981', '390', '111', '582', '28']
['588', '470', '608', '400', '353']
['854', '33', '850', '497', '127']
['41', '866', '527', '748', '257']
['721', '355', '294', '877', '347']
['112', '933', '183', '687', '827']
['227', '438', '996', '923', '665']
['847', '632', '293', '882', '62']
['8', '772', '526', '68', '429']
['756', '755', '110', '747', '574']
['12', '658', '163', '95', '173']
['974', '292', '634', '279', '177']
['155', '775', '201', '766', '570']
['238', '315', '583', '567', '411']
['711', '901', '228', '99', '607']
['653', '215', '680', '864', '478']
['330', '730', '968', '867', '440']
['244', '103', '803', '304', '832']
['233', '15', '712', '200', '842']
['378', '639', '595', '652', '239']
['480', '538', '516', '146', '237']
['970', '556', '291', '448', '77']
['514', '65', '975', '869', '372']
['373', '495', '27', '988', '109']
['879', '113', '717', '415', '965']
['473', '357', '940', '389', '733']
['377', '943', '366', '395', '509']
['487', '704', '391', '714', '154']
['85', '510', '382', '977', '821']
['903', '662', '170', '53', '523']
['978', '949', '386', '251', '603']
['199', '6', '367', '81', '331']
['613', '118', '797', '160', '299']
['289', '147', '690', '921', '230']
['670', '913', '871', '351', '998']
['908', '474', '699', '590', '980']
