['42', '106', '8', '757', '241', '358', '78', '737', '812', '308', '470', '708', '721', '300', '893', '329', '756', '964', '289', '28']
['571', '992', '74', '36', '922', '803', '870', '307', '602', '155', '926', '257', '212', '570', '118', '703', '827', '75', '237', '850']
['161', '875', '550', '405', '242', '558', '581', '563', '995', '194', '718', '671', '690', '321', '942', '867', '806', '853', '100', '578']
['537', '801', '428', '790', '299', '397', '940', '135', '459', '383', '642', '881', '119', '175', '150', '434', '848', '851', '649', '406']
['79', '741', '389', '626', '177', '258', '398', '548', '499', '953', '170', '774', '180', '865', '573', '744', '480', '140', '528', '249']
['301', '580', '464', '126', '882', '489', '765', '554', '97', '291', '195', '486', '49', '565', '813', '376', '644', '333', '503', '225']
['747', '466', '497', '69', '439', '506', '0', '223', '83', '259', '717', '763', '372', '348', '360', '41', '521', '751', '362', '23']
['576', '285', '852', '746', '869', '17', '846', '805', '133', '868', '994', '561', '511', '152', '978', '137', '857', '552', '950', '390']
['530', '976', '501', '39', '211', '369', '879', '713', '557', '935', '323', '377', '415', '641', '902', '919', '451', '560', '822', '675']
['837', '478', '482', '660', '9', '858', '341', '731', '52', '699', '122', '938', '668', '438', '431', '34', '963', '947', '615', '4']
['76', '628', '733', '248', '416', '795', '700', '292', '385', '132', '866', '62', '517', '574', '51', '63', '670', '855', '11', '44']
['792', '695', '400', '768', '632', '477', '485', '200', '518', '547', '764', '738', '72', '455', '613', '835', '22', '884', '658', '5']
['898', '46', '313', '719', '767', '460', '123', '492', '335', '730', '939', '727', '12', '13', '174', '129', '468', '553', '488', '164']
['901', '523', '666', '317', '981', '363', '173', '327', '745', '65', '318', '64', '916', '758', '222', '784', '267', '131', '809', '263']
['949', '278', '726', '987', '606', '951', '637', '214', '543', '245', '705', '125', '542', '593', '475', '621', '959', '984', '353', '55']
['723', '368', '698', '973', '596', '105', '659', '88', '436', '982', '975', '146', '210', '260', '969', '845', '205', '25', '568', '244']
['633', '929', '669', '115', '370', '860', '306', '158', '89', '808', '754', '556', '629', '876', '630', '417', '393', '595', '624', '80']
['551', '715', '38', '143', '61', '446', '253', '365', '532', '166', '620', '979', '880', '816', '298', '682', '447', '569', '236', '538']
['395', '702', '672', '575', '661', '295', '458', '167', '742', '386', '111', '265', '56', '861', '804', '925', '169', '540', '157', '373']
['403', '266', '579', '582', '271', '294', '414', '562', '679', '91', '614', '433', '990', '382', '16', '305', '110', '798', '340', '782']
['127', '401', '638', '185', '608', '693', '98', '387', '364', '171', '985', '160', '862', '504', '471', '54', '921', '445', '138', '332']
['121', '18', '494', '207', '541', '219', '371', '230', '900', '892', '216', '10', '989', '261', '290', '282', '287', '432', '33', '319']
['312', '545', '176', '807', '196', '1', '894', '6', '986', '206', '549', '334', '539', '272', '375', '577', '598', '945', '534', '493']
['280', '442', '412', '66', '776', '509', '226', '773', '234', '771', '134', '734', '92', '895', '907', '651', '452', '589', '81', '197']
['181', '112', '408', '928', '696', '109', '221', '449', '899', '462', '361', '220', '789', '251', '676', '325', '583', '418', '625', '199']
['402', '231', '29', '188', '45', '890', '627', '802', '283', '643', '288', '274', '735', '326', '269', '918', '844', '162', '856', '190']
['910', '656', '151', '183', '413', '800', '476', '897', '142', '772', '57', '425', '761', '426', '810', '652', '673', '279', '399', '908']
['355', '739', '526', '514', '422', '665', '823', '889', '750', '187', '842', '683', '832', '977', '424', '689', '966', '186', '93', '859']
['663', '70', '952', '349', '524', '165', '67', '314', '31', '854', '794', '826', '392', '304', '330', '685', '421', '911', '440', '344']
['909', '780', '877', '611', '172', '653', '331', '924', '14', '631', '182', '113', '839', '154', '586', '946', '522', '94', '664', '843']
['108', '189', '970', '273', '587', '277', '662', '345', '3', '469', '915', '770', '917', '264', '796', '680', '847', '193', '505', '498']
['961', '391', '937', '495', '159', '227', '407', '678', '243', '58', '793', '47', '512', '777', '379', '781', '15', '153', '588', '646']
['712', '496', '872', '378', '337', '728', '904', '597', '481', '104', '956', '612', '871', '645', '474', '779', '453', '354', '616', '531']
['836', '775', '102', '82', '465', '657', '316', '270', '117', '309', '722', '591', '572', '706', '510', '409', '941', '130', '636', '697']
['634', '725', '192', '43', '515', '787', '585', '841', '450', '783', '218', '77', '116', '50', '144', '286', '962', '888', '883', '359']
['785', '410', '435', '204', '814', '516', '828', '203', '7', '322', '71', '600', '724', '60', '179', '740', '247', '818', '674', '960']
['229', '559', '430', '114', '701', '101', '448', '546', '965', '599', '535', '198', '704', '59', '997', '821', '411', '500', '381', '905']
['590', '564', '352', '711', '233', '324', '932', '878', '840', '21', '380', '974', '178', '85', '20', '584', '954', '603', '601', '811']
['356', '457', '30', '444', '156', '419', '618', '920', '686', '707', '933', '296', '824', '209', '27', '147', '384', '315', '566', '958']
['912', '40', '519', '311', '238', '120', '955', '691', '2', '507', '887', '32', '605', '944', '95', '338', '145', '753', '388', '996']
['103', '655', '87', '650', '934', '347', '342', '991', '420', '84', '838', '139', '748', '906', '490', '923', '988', '427', '948', '191']
['461', '972', '268', '484', '903', '513', '999', '202', '239', '762', '609', '394', '24', '896', '930', '729', '336', '19', '374', '124']
['667', '830', '825', '544', '472', '252', '797', '255', '914', '623', '927', '619', '604', '454', '993', '240', '254', '508', '622', '788']
['351', '487', '310', '256', '957', '714', '302', '769', '849', '831', '736', '73', '107', '479', '163', '967', '820', '778', '423', '367']
['346', '533', '529', '217', '791', '743', '815', '834', '971', '262', '639', '567', '760', '555', '201', '473', '128', '437', '829', '328']
['284', '228', '799', '684', '709', '483', '968', '48', '863', '366', '215', '250', '592', '168', '720', '491', '833', '710', '404', '640']
['732', '607', '525', '998', '891', '149', '755', '635', '873', '86', '208', '35', '520', '90', '943', '983', '443', '648', '617', '357']
['766', '687', '68', '281', '293', '681', '786', '297', '136', '654', '931', '246', '96', '339', '752', '819', '885', '184', '716', '235']
['350', '694', '980', '148', '99', '594', '303', '817', '276', '320', '26', '936', '224', '677', '688', '441', '456', '527', '37', '913']
['536', '610', '874', '749', '463', '647', '213', '886', '429', '275', '232', '343', '864', '141', '467', '53', '759', '396', '692', '502']
