['862', '511', '418', '19', '591', '436', '501', '825', '475', '768', '476', '725', '720', '625', '703', '834', '106', '174', '23', '951', '816', '131', '266', '906', '127', '269', '859', '471', '195', '576', '391', '850', '54', '857', '82', '604', '416', '922', '0', '29', '844', '755', '233', '658', '421', '659', '894', '903', '670', '369']
['356', '943', '879', '498', '638', '821', '108', '989', '736', '91', '717', '443', '387', '132', '763', '347', '883', '900', '489', '442', '635', '640', '602', '757', '139', '826', '358', '447', '430', '343', '942', '650', '408', '20', '414', '114', '320', '733', '642', '256', '435', '697', '51', '674', '579', '243', '690', '230', '167', '932']
['843', '570', '809', '468', '724', '978', '876', '168', '90', '42', '296', '121', '262', '288', '963', '157', '293', '420', '774', '794', '497', '428', '220', '564', '926', '470', '899', '575', '364', '923', '116', '17', '936', '651', '119', '61', '841', '692', '941', '965', '947', '392', '599', '647', '499', '619', '712', '339', '141', '737']
['268', '316', '514', '295', '743', '565', '582', '280', '959', '645', '707', '661', '771', '143', '753', '92', '865', '734', '298', '560', '585', '279', '21', '180', '871', '138', '360', '488', '668', '467', '98', '429', '102', '135', '904', '633', '588', '792', '698', '508', '991', '747', '864', '996', '931', '631', '950', '314', '551', '639']
['814', '449', '136', '569', '968', '341', '910', '721', '627', '215', '404', '313', '787', '398', '465', '221', '672', '882', '120', '260', '528', '558', '31', '43', '36', '159', '451', '13', '929', '122', '16', '34', '648', '751', '779', '337', '905', '27', '8', '148', '193', '660', '211', '115', '541', '317', '86', '637', '190', '331']
['652', '798', '760', '593', '35', '782', '895', '354', '4', '781', '161', '270', '104', '735', '209', '308', '346', '302', '328', '975', '368', '832', '386', '535', '666', '669', '67', '319', '312', '822', '543', '18', '344', '349', '81', '953', '693', '827', '485', '594', '624', '848', '930', '88', '772', '413', '556', '938', '395', '123']
['410', '705', '960', '657', '273', '729', '665', '686', '212', '464', '566', '629', '41', '336', '99', '699', '245', '891', '153', '805', '759', '789', '880', '359', '307', '142', '422', '810', '946', '939', '281', '704', '426', '63', '399', '310', '615', '462', '583', '48', '934', '417', '770', '163', '796', '149', '801', '154', '854', '530']
['516', '513', '73', '911', '456', '232', '93', '756', '727', '486', '728', '984', '94', '912', '175', '64', '937', '544', '155', '808', '547', '113', '746', '14', '952', '315', '715', '957', '818', '574', '683', '145', '507', '689', '701', '856', '200', '306', '778', '25', '812', '830', '662', '197', '107', '274', '972', '590', '815', '613']
['402', '964', '962', '861', '584', '264', '980', '252', '224', '649', '431', '732', '973', '836', '366', '851', '97', '870', '682', '813', '249', '726', '840', '87', '379', '72', '37', '367', '59', '263', '407', '997', '557', '587', '459', '786', '164', '434', '607', '223', '30', '490', '609', '166', '573', '559', '66', '162', '24', '96']
['783', '183', '444', '289', '178', '254', '890', '961', '415', '437', '253', '785', '258', '342', '520', '487', '664', '361', '817', '460', '754', '823', '933', '192', '172', '44', '257', '32', '969', '986', '791', '806', '741', '394', '137', '907', '605', '204', '531', '235', '916', '493', '376', '10', '3', '68', '702', '191', '695', '571']
['510', '134', '156', '309', '324', '126', '400', '586', '218', '784', '70', '738', '750', '722', '748', '71', '819', '6', '663', '103', '919', '321', '322', '335', '694', '713', '517', '869', '160', '205', '52', '261', '524', '105', '598', '483', '872', '546', '824', '829', '452', '1', '325', '2', '502', '382', '529', '691', '909', '217']
